Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cart/ [peek],2171,4,430.0,1287.4513423288806,51.7999209998834,10015.929218999987,407.0046061722708,3.6265261247074236,0.006681761630045921,430,1200,1900,2400,3700,4900,5900,6700,9200,10000,10000
POST,/cart/clear/,2868,5,420.0,1268.4992454958106,34.18024699999478,9855.206634999944,269.9069037656904,4.7908230887429255,0.008352202037557401,420,1200,2000,2500,3700,4700,5800,6300,9000,9900,9900
POST,/cart/items/ [add],2863,2863,290.0,832.4297484463883,67.59371900011502,9899.364632999892,108778.67202235418,4.782470886705368,4.782470886705368,290,500,890,1300,2600,3500,4700,5600,8100,9900,9900
GET,/products/products/ [list],10926,18,330.0,1125.5905867700922,8.93958400001793,10055.216943000005,3302.496705107084,18.251231892470432,0.030067927335206645,330,980,1700,2200,3400,4400,5500,6000,9100,10000,10000
GET,/products/products/[id]/,6617,6617,290.0,1082.2261845939242,3.8050819999853047,9964.771201999953,307.0093698050476,11.053304176503465,11.053304176503465,290,900,1600,2100,3300,4400,5600,6000,9000,10000,10000
POST,/users/addresses/ [create],20,0,2200.0,2704.256002199986,63.95219699993504,5392.925169000023,153.0,0.033408808150229605,0.0,3400,4300,4500,4600,5200,5400,5400,5400,5400,5400,5400
POST,/users/register/ [browse],80,2,2500.0,2884.586839650002,66.70811800006504,5527.319723000005,155.05,0.13363523260091842,0.0033408808150229606,2600,3300,3900,4300,4700,5100,5300,5500,5500,5500,5500
POST,/users/register/ [checkout],20,0,2600.0,2891.0844092499983,1290.1518510000187,4703.365792,163.0,0.033408808150229605,0.0,2800,3300,4100,4200,4600,4700,4700,4700,4700,4700,4700
POST,/users/token/ [browse],78,0,2300.0,2643.470014628199,308.83506200007105,5724.366852000003,95.0,0.13029435178589546,0.0,2400,3300,3900,4000,5000,5300,5300,5700,5700,5700,5700
POST,/users/token/ [checkout],20,0,2300.0,2288.3402224000065,330.2378180000005,4410.375849000047,99.0,0.033408808150229605,0.0,2400,2600,2800,4100,4300,4400,4400,4400,4400,4400,4400
,Aggregated,25663,9509,330.0,1124.9769592634564,3.8050819999853047,10055.216943000005,13686.385535595995,42.86851217796712,15.884217835026666,330,950,1600,2200,3400,4400,5600,6000,9000,10000,10000
