===== 2026-06-17T14:31:29.0151909+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          97.28%    70.79MiB / 2.711GiB   2.55%     1.33kB / 126B     19.3MB / 0B       2
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            0.13%     197.9MiB / 2.711GiB   7.13%     34.6kB / 24.4kB   13.4MB / 16.4kB   5
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.13%     200.1MiB / 2.711GiB   7.21%     34.8kB / 24.4kB   18.4MB / 8.19kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.02%     86.59MiB / 2.711GiB   3.12%     38.5kB / 51kB     8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.12%     195.7MiB / 2.711GiB   7.05%     34.7kB / 24.4kB   10.1MB / 8.19kB   5
98a0dfdc1186   high-performance-e-commerce-backend-engine-celery_beat-1     0.00%     81.75MiB / 2.711GiB   2.95%     1.75kB / 126B     7.52MB / 24.6kB   1
1929d24dd078   high-performance-e-commerce-backend-engine-celery_worker-1   0.05%     220.3MiB / 2.711GiB   7.94%     39kB / 40.7kB     7.14MB / 9.07MB   5
307badaa93b7   high-performance-e-commerce-backend-engine-nginx-1           0.00%     8.352MiB / 2.711GiB   0.30%     32.3kB / 11.7kB   10.8MB / 4.1kB    9
68bc04f59a09   high-performance-e-commerce-backend-engine-db-1              0.01%     46.49MiB / 2.711GiB   1.67%     2.82MB / 2.1MB    75.6MB / 24.3MB   6
48a24788b19c   high-performance-e-commerce-backend-engine-redis-1           8.40%     12.93MiB / 2.711GiB   0.47%     252kB / 232kB     61.6MB / 65.5kB   6
===== 2026-06-17T14:31:36.5370013+01:00 =====
CONTAINER ID   NAME                                                         CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
f1a410a4dbd1   high-performance-e-commerce-backend-engine-locust-1          11.02%    93.65MiB / 2.711GiB   3.37%     93.5kB / 76.5kB   22.8MB / 0B       11
77dd71a4eee6   high-performance-e-commerce-backend-engine-web2-1            674.66%   287.5MiB / 2.711GiB   10.36%    1.97MB / 2.29MB   14.7MB / 16.4kB   13
2012aaf0acda   high-performance-e-commerce-backend-engine-web1-1            0.09%     198MiB / 2.711GiB     7.13%     35kB / 24.4kB     18.4MB / 8.19kB   5
ed700478c1a2   high-performance-e-commerce-backend-engine-flower-1          0.01%     85.09MiB / 2.711GiB   3.07%     44.2kB / 53.5kB   8.58MB / 0B       10
dc8a52c8734f   high-performance-e-commerce-backend-engine-web3-1            0.09%     194.4MiB / 2.711GiB   7.00%     34.9kB / 24.4kB   10.1MB / 8.19kB   5
