Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cart/ [peek],4005,0,29,48.88712543597662,13.029489999098587,2897.5767190004262,420.49288389513106,6.701969193870737,0.0,29,37,42,47,64,90,250,450,1900,2900,2900
POST,/cart/clear/,5452,0,28,50.48299179493883,14.62893500138307,2906.835099000091,0.0,9.123379786512675,0.0,28,34,39,43,66,110,210,500,2200,2900,2900
POST,/cart/items/ [add],5452,0,39,56.555638323170356,20.46346600036486,2741.075619000185,220.98312545854733,9.123379786512675,0.0,39,46,52,57,75,110,240,450,1800,2700,2700
POST,/orders/place/,5451,0,41,55.45530763766708,23.374304999379092,2860.6527219999407,82.89579893597505,9.121706385964892,0.0,41,49,54,59,76,100,180,310,1300,2900,2900
POST,/payments/intents/ [create],41,0,29,48.21800724369873,18.72364199880394,393.10228700014704,242.0,0.06860942245910119,0.0,29,36,47,59,87,110,390,390,390,390,390
POST,/payments/intents/[id]/capture/,41,0,2100.0,2137.3289328535843,2038.6841359995742,3295.867080998505,280.0,0.06860942245910119,0.0,2100,2100,2100,2100,2200,2600,3300,3300,3300,3300,3300
GET,/products/products/ [discover],5,0,53,67.98807719969773,47.17257099946437,134.95327800046653,3131.4,0.008367002738914778,0.0,53,54,54,130,130,130,130,130,130,130,130
GET,/products/products/ [list],20653,0,15,31.471126533769525,8.954959001130192,3139.192901999195,3098.0,34.560741513361386,0.0,15,19,22,24,34,56,160,370,1800,2500,3100
GET,/products/products/[id]/,12238,0,16,30.916759110404435,9.585429001162993,3012.982946998818,621.9027618891976,20.47907590376781,0.0,16,20,23,25,36,55,140,340,1600,2800,3000
GET,/users/me/,100,0,54,129.98242820003725,13.42757499878644,1269.674708999446,361.8,0.16734005477829558,0.0,55,99,160,190,310,440,1200,1300,1300,1300,1300
POST,/users/token/ [seeded],100,0,550.0,602.1067894100815,267.27059399854625,2337.837199000205,88.0,0.16734005477829558,0.0,550,630,680,710,780,980,2000,2300,2300,2300,2300
,Aggregated,53538,0,22,42.45850034917274,8.954959001130192,3295.867080998505,1401.184541820763,89.59051852720388,0.0,22,30,36,40,56,85,210,490,2100,2900,3300
