Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cart/ [peek],226,0,85,552.1262459335563,14.158084999507992,3233.4794840007817,446.84513274336285,3.8289140990090273,0.0,93,500,880,1500,1800,1900,2100,2300,3200,3200,3200
POST,/cart/clear/,169,0,110.0,602.7429688461489,19.10467199923005,2570.4479169999104,0.0,2.8632145253651577,0.0,110,740,1400,1600,1800,1900,2100,2500,2600,2600,2600
POST,/cart/items/ [add],169,0,61,405.41146678706946,23.15302600072755,3613.0962450006336,221.07100591715977,2.8632145253651577,0.0,61,110,310,630,1600,1800,2000,3300,3600,3600,3600
POST,/orders/place/,167,0,78,366.59724882632287,24.22865700100374,4400.615130000006,364.25748502994014,2.8293303297987062,0.0,78,130,280,510,1400,1800,2100,2300,4400,4400,4400
POST,/payments/intents/ [create],123,0,33,285.0222656828904,15.706459000284667,2113.2195240006695,242.0,2.0838780273367714,0.0,33,67,120,200,1400,1900,2000,2000,2100,2100,2100
POST,/payments/intents/[id]/capture/,118,0,2100.0,2308.8347616356523,2036.169871000311,4345.380942000702,280.0,1.9991675384206427,0.0,2100,2100,2200,2300,3100,3700,4000,4100,4300,4300,4300
GET,/products/products/ [discover],5,0,1600.0,1436.7345883998496,13.198516000556992,2524.7834229994623,3131.4,0.08471048891612892,0.0,1600,1700,1700,2500,2500,2500,2500,2500,2500,2500,2500
GET,/products/products/ [list],1087,0,44,549.8441841674074,9.028548998685437,4951.276320000034,3098.0,18.416060290366428,0.0,44,540,1100,1400,1800,1900,2300,3400,3800,5000,5000
GET,/products/products/[id]/,650,0,60,623.4415787738766,9.6379930000694,6926.658271000633,619.0261538461539,11.01236355909676,0.0,61,740,1300,1500,1800,2000,3300,3600,6900,6900,6900
GET,/users/me/,100,0,540.0,1486.212213849994,15.675607999583008,10016.765158999988,361.8,1.6942097783225785,0.0,580,1100,1800,2200,4500,9500,9900,10000,10000,10000,10000
POST,/users/token/ [seeded],100,0,6400.0,5937.417936969993,486.94749400056025,11241.076825999698,88.0,1.6942097783225785,0.0,6500,8400,9800,10000,10000,11000,11000,11000,11000,11000,11000
,Aggregated,2914,0,90,829.2192706678078,9.028548998685437,11241.076825999698,1404.4320521619766,49.36927294031994,0.0,90,790,1400,1600,2000,2600,6400,9600,11000,11000,11000
