Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781711105,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781711106,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781711107,20,,Aggregated,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1,0,1663.7672249999014,1663.7672249999014,1663.7672249999014,1663.7672249999014,3098.0
1781711108,30,,Aggregated,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1,0,1663.7672249999014,1663.7672249999014,1663.7672249999014,1663.7672249999014,3098.0
1781711109,40,,Aggregated,0.000000,0.000000,1400,1400,1700,1700,1700,1700,1700,1700,1700,1700,1700,3,0,1400.0,1016.9925830001981,13.198516000556992,1663.7672249999014,3127.0
1781711110,50,,Aggregated,0.000000,0.000000,1400,1400,1700,1700,1700,1700,1700,1700,1700,1700,1700,3,0,1400.0,1016.9925830001981,13.198516000556992,1663.7672249999014,3127.0
1781711111,60,,Aggregated,0.333333,0.000000,1700,1700,2500,2500,2500,2500,2500,2500,2500,2500,2500,4,0,1400.0,1393.9402930000142,13.198516000556992,2524.7834229994623,3125.5
1781711112,70,,Aggregated,0.333333,0.000000,1700,1700,2500,2500,2500,2500,2500,2500,2500,2500,2500,4,0,1400.0,1393.9402930000142,13.198516000556992,2524.7834229994623,3125.5
1781711113,80,,Aggregated,0.666667,0.000000,830,1400,1600,1700,2500,2500,2500,2500,2500,2500,2500,10,0,810.0,1101.4720596996995,13.198516000556992,2524.7834229994623,1609.7
1781711114,90,,Aggregated,0.571429,0.000000,990,1300,1400,1500,1600,1800,2500,2500,2500,2500,2500,34,0,980.0,955.9922552644447,13.198516000556992,2524.7834229994623,954.7352941176471
1781711115,100,,Aggregated,0.625000,0.000000,840,1200,1500,1600,2100,2500,2800,2900,2900,2900,2900,62,0,830.0,973.3025181450953,13.198516000556992,2852.132336000068,780.1129032258065
1781711116,100,,Aggregated,2.555556,0.000000,930,1400,1600,1800,2400,2900,3700,3900,3900,3900,3900,85,0,930.0,1065.0810939646308,13.198516000556992,3861.53283099884,795.5294117647059
1781711117,100,,Aggregated,5.200000,0.000000,750,1100,1500,1800,2800,4000,4500,4600,4600,4600,4600,118,0,750.0,1064.5738238558422,13.198516000556992,4622.674576999998,895.228813559322
1781711118,100,,Aggregated,7.500000,0.000000,740,1200,1600,1800,3300,4500,5300,5600,5600,5600,5600,133,0,740.0,1165.4899753082275,13.198516000556992,5647.626496000157,887.375939849624
1781711119,100,,Aggregated,10.500000,0.000000,830,1400,2000,2600,4500,6200,6700,6900,6900,6900,6900,177,0,830.0,1527.9400836214663,13.198516000556992,6930.030584000633,934.0338983050848
1781711120,100,,Aggregated,12.300000,0.000000,760,1400,2000,2600,4900,6700,7400,7700,8000,8000,8000,224,0,750.0,1570.6254939374994,13.198516000556992,8011.207303999981,944.2723214285714
1781711121,100,,Aggregated,15.200000,0.000000,750,1400,1800,2400,5300,7100,8200,8500,8800,8800,8800,276,0,750.0,1578.2501801920143,13.198516000556992,8756.562160000612,930.1630434782609
1781711122,100,,Aggregated,19.900000,0.000000,610,1200,1800,2300,5600,8000,9600,9900,10000,10000,10000,334,0,600.0,1616.5697230149299,13.198516000556992,10101.020916999914,941.4191616766467
1781711123,100,,Aggregated,24.600000,0.000000,540,1200,1900,2500,6900,9600,10000,10000,11000,11000,11000,395,0,540.0,1807.7966021670502,13.198516000556992,10777.336074999766,947.6303797468354
1781711124,100,,Aggregated,29.300000,0.000000,630,1400,2100,2800,7400,9900,10000,11000,11000,11000,11000,451,0,630.0,1967.72900629266,13.198516000556992,11241.076825999698,952.4545454545455
1781711125,100,,Aggregated,34.700000,0.000000,610,1400,2000,2600,6900,9900,10000,11000,11000,11000,11000,502,0,600.0,1884.5879664183049,10.84082200031844,11241.076825999698,969.9900398406375
1781711126,100,,Aggregated,38.600000,0.000000,670,1600,2100,2400,6400,9600,10000,11000,11000,11000,11000,579,0,670.0,1806.420885210709,10.84082200031844,11241.076825999698,1028.0690846286702
1781711127,100,,Aggregated,42.200000,0.000000,600,1400,2000,2200,5600,9500,10000,11000,11000,11000,11000,641,0,600.0,1696.583399028071,10.406188999695587,11241.076825999698,1086.021840873635
1781711128,100,,Aggregated,42.700000,0.000000,430,1200,1800,2100,4500,8600,10000,11000,11000,11000,11000,732,0,420.0,1531.7338865437046,10.405168000943377,11241.076825999698,1152.3142076502731
1781711129,100,,Aggregated,49.100000,0.000000,330,1200,1700,2000,4000,8200,10000,11000,11000,11000,11000,785,0,330.0,1448.4539138815223,9.755459999723826,11241.076825999698,1201.7095541401275
