Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cart/ [peek],4011,0,28,37.69081037274816,12.519570998847485,2039.921747000335,433.68960359012715,6.704780845694972,0.0,28,35,39,43,55,69,100,220,1300,2000,2000
POST,/cart/clear/,5550,0,22,33.47236752358259,14.12006700047641,2375.6578090033145,0.0,9.277370654102992,0.0,22,26,29,31,39,53,110,310,1500,2400,2400
POST,/cart/items/ [add],5550,0,34,41.598100703963325,21.226240998657886,732.8551699974923,221.59063063063064,9.277370654102992,0.0,34,39,43,46,58,72,120,190,520,730,730
POST,/orders/place/,5550,0,39,48.281858010444545,23.594384001626167,2242.0342410005105,80.0,9.277370654102992,0.0,39,44,49,52,64,80,120,210,1200,2200,2200
GET,/products/products/ [discover],5,0,770.0,926.309752400266,725.2079280006001,1551.356919000682,3131.4,0.008357991580272965,0.0,770,850,850,1600,1600,1600,1600,1600,1600,1600,1600
GET,/products/products/ [list],20724,0,15,21.609255205374485,8.678705999045633,3107.8958840007544,3098.0,34.64220350191538,0.0,15,17,19,21,26,35,63,130,1200,2400,3100
GET,/products/products/[id]/,12314,0,15,22.396844031275567,9.553571002470562,2505.16592099666,619.8366087380217,20.584061663896257,0.0,15,18,20,21,27,37,63,120,1400,2300,2500
GET,/users/me/,100,0,1300.0,1375.3072361000159,14.710782998008654,3913.936526001635,361.82,0.1671598316054593,0.0,1400,1900,2400,2800,3100,3600,3800,3900,3900,3900,3900
POST,/users/token/ [seeded],100,0,2400.0,2438.9864400199804,481.6330189969449,4451.289812997857,88.0,0.1671598316054593,0.0,2400,2900,3200,3500,3900,4100,4100,4500,4500,4500,4500
,Aggregated,53904,0,19,36.09136816706087,8.678705999045633,4451.289812997857,1397.1062629860492,90.10583562860678,0.0,19,26,31,34,45,59,100,240,2800,4000,4500
