Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cart/ [peek],7,0,190.0,184.23303985725528,127.51281800046854,234.291826000117,285.42857142857144,0.24400913235102356,0.0,190,190,210,210,230,230,230,230,230,230,230
POST,/cart/clear/,6,0,130.0,220.25685666661352,91.2662780001483,450.1862600000095,0.0,0.2091506848723059,0.0,230,230,310,310,450,450,450,450,450,450,450
POST,/cart/items/ [add],6,0,110.0,245.1912790000582,85.11822800028312,756.2603740007035,220.66666666666666,0.2091506848723059,0.0,200,200,210,210,760,760,760,760,760,760,760
POST,/orders/place/,6,0,310.0,569.4958353334792,160.75712600013503,2072.480149000512,463.8333333333333,0.2091506848723059,0.0,330,330,360,360,2100,2100,2100,2100,2100,2100,2100
POST,/payments/intents/ [create],6,0,61,196.70517716667746,57.97715200060338,606.8383639994863,242.0,0.2091506848723059,0.0,100,100,290,290,610,610,610,610,610,610,610
POST,/payments/intents/[id]/capture/,4,0,2200.0,2567.841486999896,2153.5092559997793,3365.710558000501,280.0,0.1394337899148706,0.0,2500,2500,3400,3400,3400,3400,3400,3400,3400,3400,3400
GET,/products/products/ [discover],5,0,2000.0,2020.2878238000267,256.68563899944274,2974.0666389998296,3111.6,0.17429223739358826,0.0,2000,2800,2800,3000,3000,3000,3000,3000,3000,3000,3000
GET,/products/products/ [list],43,0,96,202.28300306976158,38.01247799947305,2836.531828999796,3079.0,1.498913241584859,0.0,96,120,160,170,230,310,2800,2800,2800,2800,2800
GET,/products/products/[id]/,28,0,81,162.8312890000286,37.34701800021867,685.3917349999392,612.9642857142857,0.9760365294040942,0.0,89,170,220,250,380,600,690,690,690,690,690
GET,/users/me/,10,0,280.0,1563.0262703999506,71.99809000030655,6861.312155999258,336.5,0.3485844747871765,0.0,290,360,520,6600,6900,6900,6900,6900,6900,6900,6900
POST,/users/token/ [seeded],10,0,910.0,3340.070586299953,647.4443930001144,7654.192083000453,88.0,0.3485844747871765,0.0,930,6800,7100,7200,7700,7700,7700,7700,7700,7700,7700
,Aggregated,131,0,170.0,697.2575956183288,37.34701800021867,7654.192083000453,1359.0839694656488,4.566456619712012,0.0,170,230,360,600,2100,3400,7100,7200,7700,7700,7700
